python;webdesign;linux;networking;english;class;graduate
91.66666667;65;83;87.6;71.99999809;E;Y
25;10;35;50;45;A;N
0;0;14.5;32.1;16.49999976;E;N
95.83333333;88.33333333;84.66000366;80.1;81.99999809;B;Y
25;35;38.65999985;75;51;A;N
100;76.66666667;86;74.77;78.00000191;C;Y
72.91666667;70.83333333;79.33999634;79.03;81.99999809;B;Y
79.16666667;83.33333333;74.66000366;70.9;83.50000381;H;Y
20.83333333;54.16666667;55.65999985;46.73;55.99999905;F;N
25;92.5;63;20;35;H;N
16.66666667;24.16666667;44.5;43.7;35.49999952;H;N
37.5;45;65.16000366;65;43.49999905;E;N
87.5;95.83333333;77.66000366;67.77;52.5;F;Y
77.08333333;74.16666667;61.34000015;55.77;44.49999809;B;Y
0;0;23;63;0;F;N
58.33333333;80;74.66000366;66.7;74.49999809;C;Y
50;94.16666667;77.33999634;73.1;65;A;Y
45.83333333;76.66666667;71.33999634;68.83;80.50000191;F;Y
20.83333333;35;51;33.7;56.50000095;D;N
89.58333333;99.16666667;77.33999634;73.03;70.50000191;A;Y
95.83333333;52.5;83.33999634;63.4;70.90000153;B;Y
77.08333333;85;84;79.03;83.50000381;B;Y
0;60;53.65999985;55.87;58.00000191;H;N
70.83333333;88.33333333;77;55.77;33.49999905;D;Y
45.83333333;53.33333333;66;57.3;46.99999809;A;N
16.66666667;70.83333333;47.34000015;64.1;64.49999809;B;N
37.5;64.16666667;63.34000015;69.37;63.49999905;B;Y
97.91666667;90.83333333;82;82.6;45;E;Y
100;64.16666667;67;73.03;64.49999809;A;Y
27.08333333;57.5;50.65999985;53;35;F;N
91.66666667;94.16666667;80;73.97;62.5;H;Y
72.91666667;53.33333333;80.66000366;64.3;75;A;N
58.33333333;47.5;66.66000366;50.63;58.00000191;A;Y
72.91666667;81.66666667;86;80.5;81.49999619;C;Y
18.75;53.33333333;68;63.7;74.49999809;F;N
100;70;72;68.5;55.99999905;G;Y
93.75;91.66666667;86;87.1;80;G;Y
27.08333333;63.33333333;69;52.7;32;D;N
58.33333333;61.66666667;70;79.7;78.00000191;G;Y
52.08333333;77.5;78;76.1;63.49999905;F;Y
79.16666667;66.66666667;47.15999985;59.5;68.00000191;G;N
35.41666667;26.66666667;64.66000366;86.1;75.99999905;G;N
18.75;70.83333333;55;85.1;57.5;D;Y
50;93.33333333;78.5;79.1;51.99999809;D;Y
58.33333333;68.33333333;76;53.27;63.49999905;B;Y
87.5;90;76;74.23;76.99999809;A;Y
37.5;68.33333333;78;68.73;84.49999809;B;Y
93.75;63.33333333;86.66000366;84.7;69.00000095;G;Y
20.83333333;69.16666667;46.65999985;47.47;50;H;N
93.75;63.33333333;70;62.37;58.00000191;B;Y
25;18.33333333;63.65999985;45.3;60.99999905;C;N
41.66666667;55.83333333;73.33999634;60.63;64.49999809;F;Y
16.66666667;45;47;61.77;65.50000191;E;N
27.08333333;39.16666667;61;52.3;58.00000191;E;N
60.41666667;0;64;65.3;76.99999809;F;N
95.83333333;61.66666667;62.65999985;66.37;74.49999809;B;Y
8.333333333;54.16666667;51.65999985;56.03;44.49999809;E;Y
0;0;23;10;0;F;N
91.66666667;57.5;54.34000015;61.1;74.49999809;E;Y
10.41666667;50.83333333;57;64.43;35.49999952;E;Y
